X (nm),Y (nm),LEV (ft) [COORDINATES IN RELATION TO POMIGLIANIO RADAR]
0,0,7000
1.3333,8,4200
1.4833,8.7667,4200
1.65,9.1,4200
1.8333,9.3166,4200
2.0333,9.4833,4200
2.2667,9.6167,4200
2.4667,9.6833,4200
2.6667,9.7333,4200
2.8333,9.7333,4200
2.9167,9.75,4200
3.0167,9.7333,4200
3.1833,9.7,4200
3.4,9.6167,4200
3.5833,9.5167,4200
3.7333,9.4167,4200
3.8833,9.2833,4200
4.0167,9.1167,4200
4.15,8.9,4200
4.2167,8.6833,4200
4.2667,8.45,4200
4.2667,8.2167,4200
4.2333,8.05,4200
4.2167,7.9167,4200
4.1833,7.8167,4200
3.8167,7.1167,4200
0.4667,0.8833,1800
0,0,1800
-3.6167,-2.2334,600